full_total_building_area,area_code,lat,long,project_main_usage,number_of_buildings,total_land_area,floor_area_ratio,period_days,land_price,salary_avg_construction,hot_rolled_coil,end_date,start_date,investment
4246.5,440118,23.180368,113.846169,industrial,2.0,11286.7,0.38,184.0,,,3778.8947368421054,2024-12-30,2024-06-29,1200.0
28300.42,440113,23.001737,113.265219,mixed use,1.0,5480.0,5.164310218978102,715.0,,,3671.913043478261,2026-06-29,2024-07-14,10037.45
8988.64,440114,23.376744,113.081641,industrial,1.0,6849.78,1.3122523643095105,549.0,,,3768.15,2025-10-31,2024-04-30,2500.0
85311.93,440113,23.001737,113.265219,commercial,4.0,19085.0,4.470103746397694,623.0,,,3671.913043478261,2026-03-29,2024-07-14,32285.55
36000.0,440115,22.845703,113.333864,industrial,1.0,12033.6476,2.991611620735844,731.0,,78409.0,4009.4545454545455,2024-12-31,2022-12-31,6500.0
4158.0,440112,23.138248,113.502875,industrial,1.0,4574.0,0.9090511587232182,350.0,,,3778.8947368421054,2025-05-30,2024-06-14,5371.0
77273.45,440118,23.179967,113.717721,industrial,5.0,25836.85,2.99,578.0,,,3795.3333333333335,2025-10-30,2024-03-31,25000.0
65143.0,440111,23.360427,113.420726,industrial,,13707.0,3.98,730.0,,,3778.8947368421054,2026-06-20,2024-06-20,20000.0
2495.0,440112,23.113558,113.453539,mixed use,1.0,2495.0,1.0,107.0,,,3778.8947368421054,2024-09-25,2024-06-10,2806.0
44954.0,440112,23.053652,113.523548,industrial,,11717.0,3.8366476060425025,92.0,,,3778.8947368421054,2024-09-19,2024-06-19,3000.0
12805.03,440105,23.102175,113.269695,commercial,,12905.1,0.9922457013118845,478.0,,,3848.55,2025-09-19,2024-05-29,12512.0
86251.91,440111,23.255388,113.216903,industrial,4.0,,,759.0,,,3848.55,2026-06-29,2024-05-31,34000.0
6406.0,440114,23.433586,113.31174,industrial,1.0,6406.0,1.0,0.0,,81755.0,4161.6875,2023-01-08,2023-01-08,14276.86
39150.0,440113,22.921411,113.44962,industrial,,8666.93,4.5171704398212515,730.0,,,3778.8947368421054,2026-06-17,2024-06-17,26800.0
3906.13,440112,23.205896,113.567036,public,3.0,,,0.0,,,3768.15,2024-04-30,2024-04-30,1960.4527
3992.03,440112,23.152536,113.442771,public,2.0,,,0.0,,,3848.55,2024-05-31,2024-05-31,2032.835
42342.0,440114,23.395586,113.07156,industrial,2.0,16643.46,2.544062352419509,569.0,,,3778.8947368421054,2025-12-30,2024-06-09,13000.0
28913.0,440115,22.702574,113.537383,residential,,28913.0,1.0,883.0,,,3943.266666666667,2026-07-31,2024-02-29,23477.27
4813.46,440114,23.450065,113.349874,industrial,4.0,3484.49,1.3813958427201687,822.0,,81755.0,3872.15,2025-12-30,2023-09-30,4538.711
32761.1,440105,23.087142,113.336487,public,3.0,7187.0,4.56,729.0,,,3848.55,2026-05-30,2024-05-31,9999.86
4888.42,440113,22.974705,113.477242,public,2.0,1682.01,2.906296633194809,0.0,,81755.0,3968.7894736842095,2023-04-02,2023-04-02,2200.0
59376.78,440111,23.23116,113.197341,commercial,,98094.79596894103,0.6053,360.0,,,3848.55,2025-05-14,2024-05-19,21561.0
36648.7,440111,23.337774,113.265744,commercial,,13428.0,2.7292746499851055,731.0,,81755.0,3872.15,2025-09-30,2023-09-30,7666.0
1810.83,440114,23.421097,113.267147,public,1.0,,,731.0,,81755.0,4180.75,2025-02-21,2023-02-21,1100.0
31799.2,440113,23.025324,113.31399,commercial,1.0,,,762.0,,81755.0,3975.090909090909,2025-12-30,2023-11-29,30910.0
